Date,Dow,France,Germany,S&P 500,Hong Kong,NASDAQ,Korea,Japan,Shanghai,Philadelphia,Taiwan,Future,OpenChange,selfDef,kMeans
2013/5/7,0.58,0.6,0.86,0.52,0.58,0.11,-0.36,3.55,0.2,0.03,-0.07,0.06,14.88,0,0
2013/5/8,0.32,1.31,0.83,0.41,0.86,0.49,0.11,0.74,0.48,1.29,1.27,1.15,47.28,3,3
2013/5/9,-0.15,0.24,0.16,-0.37,-0.14,-0.12,1.18,-0.66,-0.59,0.52,0.23,0.53,-1.51,0,0
2013/5/10,0.24,1.14,0.19,0.43,0.47,0.8,-1.75,2.93,0.62,0.89,-0.07,-0.01,5.19,0,0
2013/5/13,-0.18,0.38,0.01,0.0,-1.42,0.06,0.2,1.2,-0.22,-1.0,-0.39,-0.59,23.88,3,3
2013/5/14,0.82,0.83,0.72,1.01,-0.26,0.69,1.03,-0.16,-1.11,0.44,0.04,0.17,12.28,0,0
2013/5/15,0.4,1.51,0.28,0.51,0.5,0.26,0.12,2.29,0.35,0.97,0.81,0.39,43.9,3,3
2013/5/16,-0.28,0.72,0.09,-0.5,0.17,-0.18,0.79,-0.39,1.21,-0.76,0.86,1.38,-3.24,0,0
2013/5/20,-0.12,1.51,0.69,-0.07,1.78,-0.07,-0.22,1.47,0.75,-0.32,0.11,-0.18,4.31,0,0
2013/5/21,0.34,1.07,0.19,0.17,-0.54,0.16,-0.07,0.13,0.22,-0.02,0.07,0.05,31.01,3,3
2013/5/22,-0.52,1.48,0.69,-0.83,-0.45,-1.11,0.64,1.6,-0.12,-1.58,0.19,0.05,-30.99,1,1
2013/5/23,-0.08,-1.04,-2.1,-0.29,-2.54,-0.11,-1.24,-7.32,-1.16,0.03,-1.92,-2.18,35.38,3,3
2013/5/24,0.06,0.42,-0.56,-0.06,-0.23,-0.01,0.22,0.89,0.57,-0.05,-0.34,0.11,9.1,0,0
2013/5/28,0.69,1.86,1.16,0.63,1.05,0.86,0.32,1.2,1.23,0.96,-0.21,0.01,40.15,3,3
2013/5/29,-0.69,-0.74,-1.7,-0.7,-1.61,-0.61,0.75,0.1,0.12,0.29,0.91,0.67,-20.93,1,1
2013/5/30,0.14,0.65,0.76,0.37,-0.31,0.69,-0.05,-5.15,-0.27,1.53,-1.13,-1.01,75.48,3,4
2013/5/31,-1.36,-0.38,-0.61,-1.43,-0.41,-1.01,0.05,1.37,-0.74,-1.22,0.14,0.15,-76.83,1,1
2013/6/3,0.92,-0.44,-0.76,0.59,-0.49,0.27,-0.57,-3.72,-0.06,0.45,-0.65,-0.59,42.2,3,3
2013/6/4,-0.5,0.93,0.12,-0.55,0.01,-0.58,0.0,2.05,-1.17,0.37,-0.12,-0.35,42.2,3,3
2013/6/5,-1.43,-1.71,-1.2,-1.38,-0.97,-1.27,-1.52,-3.83,-0.07,-1.52,-0.11,-0.21,-46.35,1,1
2013/6/7,1.38,1.53,1.92,1.28,-1.21,1.32,-1.8,-0.21,-1.39,1.47,-0.01,-0.19,66.31,3,3
2013/6/13,1.21,0.17,-0.59,1.48,-2.19,1.32,-1.42,-6.35,-2.83,1.97,-2.03,-2.38,27.09,3,3
2013/6/14,-0.7,1.93,0.4,-0.59,0.39,-0.63,0.35,1.94,0.64,-0.4,-0.18,-0.15,15.91,0,0
2013/6/17,0.73,1.84,1.08,0.76,1.22,0.83,-0.32,2.73,-0.27,1.46,0.69,0.66,1.92,0,0
2013/6/18,0.91,1.19,0.17,0.78,0.0,0.87,0.93,-0.2,0.14,1.63,0.23,0.28,22.3,3,3
2013/6/19,-1.35,0.06,-0.39,-1.39,-1.13,-1.12,-0.65,1.83,-0.73,-1.16,-0.05,0.29,-55.03,1,1
2013/6/20,-2.34,-3.25,-3.28,-2.5,-2.88,-2.28,-2.0,-1.74,-2.77,-3.12,-1.35,-1.73,-120.07,2,2
2013/6/21,0.28,-1.04,-1.76,0.27,-0.59,-0.22,-1.49,1.66,-0.52,0.25,-1.34,-1.19,-4.86,0,0
2013/6/24,-0.94,-1.71,-1.24,-1.21,-2.22,-1.09,-1.31,-1.26,-5.3,-2.02,-0.45,-0.37,-7.69,0,0
2013/6/25,0.69,2.08,1.55,0.95,0.21,0.82,-1.02,-0.72,-0.19,2.43,-1.22,-0.3,126.11,4,4
2013/6/26,1.02,2.94,1.66,0.96,2.43,0.85,0.16,-1.04,-0.41,0.52,1.59,0.43,56.52,3,3
2013/6/27,0.77,3.34,0.63,0.62,0.5,0.76,2.87,2.96,-0.08,0.39,1.27,0.98,44.64,3,3
2013/6/28,-0.76,0.92,-0.39,-0.43,1.78,0.04,1.56,3.51,1.5,0.36,2.26,1.46,-50.26,1,1
2013/7/2,-0.28,0.48,-0.92,-0.05,-0.7,-0.03,-0.04,1.78,0.57,0.1,-0.25,0.04,-24.33,1,1
2013/7/3,0.37,-0.78,-1.03,0.08,-2.48,0.3,-1.64,-0.31,-0.61,0.35,-1.3,-1.2,7.84,0,0
2013/7/5,0.98,0.82,-2.36,1.02,1.89,1.04,-0.32,2.08,0.05,1.35,1.37,1.57,-21.71,1,1
2013/7/8,0.59,1.86,2.08,0.53,-1.31,0.16,-0.9,-1.4,-2.44,-2.02,-1.44,-1.68,5.19,0,0
2013/7/9,0.5,1.62,1.12,0.72,0.49,0.56,0.74,2.58,0.37,1.05,1.08,1.2,3.81,0,0
2013/7/10,-0.06,0.22,0.11,0.02,1.07,0.47,-0.34,-0.39,2.17,1.12,0.51,0.49,69.28,3,3
2013/7/11,1.11,1.48,1.14,1.36,2.55,1.63,2.93,0.39,3.23,2.07,2.1,2.56,8.32,0,0
2013/7/12,0.02,0.0,0.66,0.31,-0.75,0.61,-0.41,0.23,-1.62,0.63,0.5,0.15,-42.23,1,1
2013/7/16,-0.21,-0.3,-0.41,-0.37,0.04,-0.25,-0.47,0.64,0.31,0.35,0.07,0.17,-21.01,1,1
2013/7/17,0.12,0.65,0.65,0.28,0.28,0.32,1.13,0.11,-1.01,0.11,-0.01,0.15,-20.67,1,1
2013/7/18,0.5,2.74,1.0,0.5,-0.12,0.04,-0.64,1.32,-1.05,-0.89,-0.78,-0.56,-76.94,1,1
2013/7/19,-0.03,1.7,-0.07,0.16,0.08,-0.66,-0.22,-1.48,-1.52,-0.22,-1.62,-1.79,30.0,3,3
2013/7/22,0.01,1.01,-0.01,0.2,0.25,0.36,0.48,0.47,0.61,-0.21,0.54,0.82,47.27,3,3
2013/7/23,0.14,0.18,-0.2,-0.19,2.33,-0.59,1.27,0.82,1.95,-0.34,1.35,1.43,8.2,0,0
2013/7/24,-0.16,1.01,0.78,-0.38,0.24,0.01,0.42,-0.32,-0.52,-1.83,-0.22,-0.1,-23.0,1,1
2013/7/25,0.09,0.63,-0.96,0.26,-0.31,0.71,-0.13,-1.14,-0.6,0.57,-0.4,-0.21,24.78,3,3
2013/7/26,0.02,1.23,-0.65,0.08,0.31,0.22,0.06,-2.97,-0.51,-0.9,-0.17,-0.1,-3.26,0,0
2013/7/29,-0.24,0.21,0.17,-0.37,-0.54,-0.39,-0.57,-3.32,-1.72,-0.67,-0.8,-0.79,28.67,3,3
2013/7/30,-0.01,0.61,0.15,0.04,0.48,0.48,0.9,1.53,0.7,1.2,0.98,1.21,-0.11,0,0
2013/7/31,-0.14,0.67,0.06,-0.01,-0.32,0.27,-0.16,-1.45,0.19,0.46,-0.68,-0.97,2.79,0,0
2013/8/1,0.83,1.95,1.63,1.25,0.94,1.36,0.35,2.47,1.77,1.85,-0.64,-0.05,58.29,3,3
2013/8/2,0.19,1.28,-0.05,0.16,0.46,0.38,0.14,3.29,0.02,-0.66,0.54,0.2,4.32,0,0
2013/8/5,-0.3,0.55,-0.1,-0.15,0.14,0.09,-0.37,-1.44,1.04,-0.26,0.48,0.46,-8.78,0,0
2013/8/6,-0.6,-0.19,-1.17,-0.57,-1.34,-0.74,-0.5,1.0,0.49,-0.72,-1.23,-1.33,-45.34,1,1
2013/8/7,-0.31,0.61,-0.47,-0.38,-1.53,-0.32,-1.48,-4.0,-0.67,-0.95,-1.46,-1.83,-11.09,0,0
2013/8/8,0.18,1.33,0.7,0.39,0.31,0.41,0.3,-1.59,-0.09,0.04,-0.17,-0.01,47.33,3,3
2013/8/9,-0.47,1.07,0.24,-0.36,0.7,-0.25,-0.17,0.07,0.36,-0.54,-0.65,-0.25,22.08,3,3
2013/8/12,-0.04,0.54,0.25,-0.12,2.13,0.27,0.22,-0.7,2.39,0.39,0.6,0.46,32.41,3,3
2013/8/13,0.2,1.08,0.68,0.28,1.21,0.39,1.5,2.57,0.23,1.15,1.05,1.22,-7.53,0,0
2013/8/16,-0.2,1.68,0.19,-0.33,-0.1,-0.09,-0.2,-0.75,-0.64,0.35,0.48,0.73,12.45,0,0
2013/8/19,-0.47,0.16,-0.31,-0.59,-0.24,-0.38,-0.13,0.79,0.83,-0.69,-0.31,-0.34,-3.83,0,0
2013/8/22,0.44,1.1,1.36,0.86,0.36,1.08,-0.98,-0.44,-0.28,1.16,-0.23,0.09,49.35,3,3
2013/8/23,0.31,1.26,0.23,0.39,-0.15,0.52,1.14,2.21,-0.47,0.0,0.75,1.08,33.21,3,3
2013/8/26,-0.43,1.02,0.22,-0.4,0.65,-0.01,0.95,-0.18,1.9,-0.19,0.28,0.51,-19.04,0,1
2013/8/27,-1.14,-1.7,-2.28,-1.59,-0.59,-2.16,-0.11,-0.69,0.34,-2.53,-0.94,-0.84,-43.97,1,1
2013/8/28,0.33,-0.21,-1.03,0.27,-1.6,0.41,-0.07,-1.51,-0.11,1.15,0.05,0.31,17.45,0,0
2013/8/29,0.11,1.3,0.45,0.2,0.84,0.75,1.22,0.91,-0.19,1.19,1.19,1.53,32.33,3,3
